"決算年度","決算四半期","売上高","売上原価","売上総利益","売上総利益率","販管費","営業利益","営業利益率","EBITDA","経常利益","法人税等","実質実効税率","親会社に帰属する純利益","純利益率","EPS","BPS","企業価値","時価総額","純有利子負債","PER（会予）","PBR","PER × PBR","EV/EBITDA（会予）","PSR","PCFR","一株当たり配当金","配当利回り（実績）","配当性向","自己資本配当率","ROE","総資産回転率","財務レバレッジ","実質ROE","ROIC","ROA","総資産","流動資産","現金及び預金","現金/総資産","現金/月間売上","現金/時価総額","売掛金および受取手形","製品および仕掛品","流動比率","固定資産","負債","流動負債","買掛金および支払手形","固定負債","有利子負債","D/Eレシオ","ネットD純利益倍率","自己株調整済負債比率","純資産","株主資本","自己資本","自己資本比率","資本金","利益剰余金","営業CF","減価償却費","のれん償却費","投資CF","財務CF","フリーCF","設備投資額","研究開発費","発行済株式総数","従業員数","売上/従業員数","営利/従業員数","株価"
"2020","4","541145000000","142519000000","398626000000","73.7","163326000000","-","-","-","140380000000","42868000000","30.5","81098000000","15.0","331.5","2297.9","1325307918000","733872918000","591435000000","-","1.3","-","-","-","30.2","120.0","4.0","36.2","5.2","14.4","0.08","12.8","14.4","-","1.1","7208572000000","-","802702000000","11","18","109","-","-","-","-","6491477000000","-","-","-","1394137000000","2.5","7.3","905","717095000000","562116000000","562116000000","8","98711000000","297495000000","-178403000000","24291000000","-","-82071000000","210822000000","-214151000000","35748000000","4158000000","244624306","9209","58762624","-","3000"
"2019","4","368055000000","110696000000","257359000000","69.9","132226000000","-","-","-","65819000000","20819000000","31.6","37487000000","10.2","162.4","1955.9","669538988190","364243988190","305295000000","-","0.8","-","-","-","22.9","100.0","6.34","61.6","5.1","8.3","0.07","12.2","8.1","-","0.7","5513227000000","-","843755000000","15","28","232","-","-","-","-","4919528000000","-","-","-","1149050000000","2.5","8.1","810","593699000000","451476000000","451476000000","8","92018000000","239724000000","26849000000","15904000000","-","-70887000000","181626000000","-21037000000","47886000000","7661000000","230826355","8003","45989629","-","1578"
"2018","4","351411000000","157000000000","194000000000","55.2","111075000000","83037000000","23.6","83670000000","83037000000","15760000000","19.0","52548000000","15.0","230.2","2000.8","811840437672","562849437672","248991000000","-","1.2","-","-","-","889.2","100.0","4.06","43.4","5.0","11.5","0.07","11.0","11.0","4.7","1.0","5034124000000","4153279000000","713974000000","14","24","127","6897139000000","-","111.9","880845000000","4471567000000","3710000000000","60639000000","762000000000","962965000000","2.1","4.7","767","562557000000","456675000000","456675000000","9","92018000000","225714000000","-71665000000","633000000","-","-54731000000","407746000000","-87287000000","15622000000","43000000","228243892","6439","54575400","12895947","2466"
"2017","4","337017000000","167059000000","172187000000","51.1","100377000000","71810000000","21.3","74073000000","71810000000","15852000000","22.1","46684000000","13.9","211.4","1937.7","671292761675","537163761675","134129000000","-","1.3","-","-","-","237.4","85.0","3.49","40.2","4.4","10.9","0.07","10.6","10.8","5.6","1.0","4535960000000","3844060000000","437148000000","10","16","81","570466000000","-","111.6","691908000000","4042140000000","3445440000000","67806000000","583921000000","571277000000","1.3","2.9","811","493824000000","427815000000","427815000000","9","81681000000","204731000000","-33235000000","2263000000","-","7881000000","74575000000","-35211000000","1976000000","2372000000","220782475","5391","62514747","13320349","2433"
"2016","4","261939000000","125679000000","139109000000","53.1","95970000000","43139000000","16.5","45859000000","43139000000","14836000000","34.4","32455000000","12.4","159.4","1856.5","446675120912","315999120912","130676000000","-","0.8","-","-","-","116.2","50.0","3.22","31.4","2.7","8.6","0.07","10.2","8.1","3.1","0.8","3850000000000","3196740000000","391572000000","10","18","124","3954000000","-","98.7","653260000000","3434480000000","3239640000000","2025000000","182896000000","522248000000","1.4","4.0","782","415524000000","377992000000","377992000000","10","81681000000","169388000000","-17952000000","2720000000","-","2437000000","159467000000","-19616000000","1664000000","1974000000","203607681","4455","58796633","9683277","1552"
"2015","4","261744000000","114454000000","148873000000","56.9","96646000000","52227000000","20.0","54838000000","52227000000","15561000000","29.8","34115000000","13.0","164.5","1792.1","316437256883","237001256883","79436000000","-","0.6","-","-","-","90.8","45.0","3.94","27.4","2.5","9.2","0.08","8.4","8.7","5.2","1.1","3126780000000","2525730000000","248050000000","8","11","105","15822000000","-","99.0","601053000000","2707720000000","2552480000000","2932000000","141844000000","327486000000","0.9","2.3","618","419063000000","371590000000","371590000000","12","81681000000","146199000000","32478000000","2611000000","-","11179000000","-76230000000","31096000000","1382000000","1912000000","207350181","5480","47763504","9530474","1143"
"2014","4","245045000000","91876000000","160248000000","65.4","92039000000","68209000000","27.8","71023000000","63067000000","23753000000","37.7","45721000000","18.7","211.2","1771.2","401133059856","315246059856","85887000000","-","0.8","-","-","-","112.0","35.0","2.4","16.6","2.0","11.9","0.07","8.9","11.8","5.8","1.3","3400760000000","2762050000000","290826000000","9","14","92","23274000000","-","97.4","638718000000","2970150000000","2837080000000","2033000000","121034000000","376713000000","1.0","1.9","682","430615000000","383491000000","383491000000","11","81681000000","121337000000","-36197000000","2814000000","-","52305000000","-15524000000","-37358000000","1161000000","891000000","216515151","6094","40210863","11192813","1456"
"2013","4","232822000000","95932000000","138221000000","59.4","95997000000","42224000000","18.1","45136000000","38899000000","19100000000","49.1","21439000000","9.2","99.0","1504.2","370702874392","269304874392","101398000000","-","0.8","-","-","-","92.5","20.0","1.61","20.2","1.3","6.6","0.08","8.8","6.5","3.3","0.7","2875300000000","2351920000000","276221000000","10","14","103","51365000000","-","102.6","523384000000","2486840000000","2293330000000","4234000000","177743000000","377619000000","1.2","4.7","632","388463000000","325631000000","325631000000","11","81681000000","80140000000","29401000000","2912000000","-","16811000000","92538000000","28445000000","956000000","564000000","216483018","5352","43501868","7889387","1244"
"2012","4","154285000000","59887000000","94398000000","61.2","75231000000","17386000000","11.3","20053000000","15022000000","7445000000","49.6","3817000000","2.5","17.6","1401.4","405910115385","179851115385","226059000000","-","0.6","-","-","-","67.4","10.0","1.2","5.7","0.7","1.3","0.06","8.2","1.2","1.5","0.2","2494390000000","98594000000","133362000000","5","10","74","989000000","5719000000","58.1","465998000000","2133850000000","169681000000","-","36453000000","359421000000","1.2","59.2","584","360535000000","303299000000","303299000000","12","81668000000","60002000000","-36984000000","2667000000","-","-19060000000","25699000000","-38147000000","1163000000","760000000","216427335","5007","30813861","3472339","831"
"2011","4","142443000000","74815000000","67627000000","47.5","62686000000","4941000000","3.5","13397000000","2225000000","11694000000","78.4","2511000000","1.8","11.4","1360.5","397511930100","171891930100","225620000000","-","0.6","-","-","-","20.3","100.0","1.28","87.7","7.4","0.8","0.24","2.0","0.8","-","0.4","590423000000","134223000000","15675000000","3","1","9","11106000000","6507000000","69.8","455716000000","229339000000","192193000000","-","37146000000","241295000000","0.8","89.9","63","361084000000","360870000000","299438000000","51","81665000000","54429000000","-6947000000","8456000000","-","-22741000000","29380000000","-12274000000","5327000000","-","220092100","-","-","-","781"
"2010","4","141081000000","67535000000","73546000000","52.1","64613000000","8932000000","6.3","15520000000","3525000000","7092000000","130.6","4534000000","3.2","22.8","1961.1","269669786590","208660786590","61009000000","-","0.5","-","-","-","31.7","120.0","1.15","52.7","6.1","1.2","0.11","3.3","1.2","0.3","0.4","1293606000000","1028779000000","150268000000","12","13","72","10658000000","-","131.8","258926000000","836623000000","780597000000","-","50828000000","211277000000","0.5","13.5","183","456982000000","397983000000","390829000000","30","73236000000","88073000000","-742000000","6588000000","-","-16642000000","25154000000","-5509000000","4767000000","-","199293970","-","-","-","1047"
"2009","4","124541000000","59138000000","65403000000","52.5","61971000000","3431000000","2.8","8981000000","1112000000","736000000","80.0","2350000000","1.9","14.0","2142.4","374839511500","309363511500","65476000000","-","0.9","-","-","-","55.7","100.0","0.54","71.4","4.7","0.7","0.1","3.4","0.7","0.5","0.2","1229939000000","980323000000","143726000000","12","14","46","8483000000","-","131.2","246395000000","801324000000","747090000000","-","47014000000","209202000000","0.6","27.9","187","428615000000","361282000000","359232000000","29","55284000000","87276000000","-53134000000","5550000000","-","-15563000000","84599000000","-60177000000","7043000000","-","167676700","-","-","-","1845"
"2008","4","130922000000","63633000000","67289000000","51.4","62885000000","4403000000","3.4","9296000000","37000000","6148000000","-38.1","-18375000000","-","-109.8","2112.9","174640623680","170489623680","4151000000","-","0.5","-","-","-","34.8","100.0","0.98","-9.1","4.7","-","0.12","3.1","-","-","-","1079233000000","851408000000","127123000000","12","12","75","7914000000","-","136.6","224685000000","659894000000","623448000000","-","29193000000","131274000000","0.4","-0.2","157","419338000000","360456000000","353519000000","33","55214000000","86865000000","103034000000","4893000000","-","-1104000000","-137514000000","99121000000","3913000000","-","167310720","-","-","-","1019"
