"åàéZîNìx","åàéZélîºä˙","îÑè„çÇ","îÑè„å¥âø","îÑè„ëçóòâv","îÑè„ëçóòâvó¶","îÃä«îÔ","âcã∆óòâv","âcã∆óòâvó¶","EBITDA","åoèÌóòâv","ñ@êlê≈ìô","é¿éøé¿å¯ê≈ó¶","êeâÔé–Ç…ãAëÆÇ∑ÇÈèÉóòâv","èÉóòâvó¶","EPS","BPS","äÈã∆âøíl","éûâøëçäz","èÉóLóòéqïâç¬","PERÅiâÔó\Åj","PBR","PER Å~ PBR","EV/EBITDAÅiâÔó\Åj","PSR","PCFR","àÍäîìñÇΩÇËîzìñã‡","îzìñóòâÒÇËÅié¿ê—Åj","îzìñê´å¸","é©å»éëñ{îzìñó¶","ROE","ëçéëéYâÒì]ó¶","ç‡ñ±ÉåÉoÉåÉbÉW","é¿éøROE","ROIC","ROA","ëçéëéY","ó¨ìÆéëéY","åªã‡ãyÇ—óaã‡","åªã‡/ëçéëéY","åªã‡/åéä‘îÑè„","åªã‡/éûâøëçäz","îÑä|ã‡Ç®ÇÊÇ—éÛéÊéËå`","êªïiÇ®ÇÊÇ—édä|ïi","ó¨ìÆî‰ó¶","å≈íËéëéY","ïâç¬","ó¨ìÆïâç¬","îÉä|ã‡Ç®ÇÊÇ—éxï•éËå`","å≈íËïâç¬","óLóòéqïâç¬","D/EÉåÉVÉI","ÉlÉbÉgDèÉóòâvî{ó¶","é©å»äîí≤êÆçœïâç¬î‰ó¶","èÉéëéY","äîéÂéëñ{","é©å»éëñ{","é©å»éëñ{î‰ó¶","éëñ{ã‡","óòâvèËó]ã‡","âcã∆CF","å∏âøèûãpîÔ","ÇÃÇÍÇÒèûãpîÔ","ìäéëCF","ç‡ñ±CF","ÉtÉäÅ[CF","ê›îıìäéëäz","å§ãÜäJî≠îÔ","î≠çsçœäîéÆëçêî","è]ã∆àıêî","îÑè„/è]ã∆àıêî","âcóò/è]ã∆àıêî","äîâø"
"2021","4","2851894000000","-","-","-","-","99325000000","3.5","394654000000","135955000000","35628000000","28.4","85835000000","3.0","96.2","1859.5","4908443645689","1025464645689","3882979000000","15.8","0.6","9.7","13.4","0.4","2.8","50.0","4.35","52.0","2.7","5.2","0.33","5.2","5.2","1.1","1.0","8656430000000","1339131000000","469052000000","5","2","46","-","199920000000","70.5","7317298000000","6950873000000","1899697000000","198065000000","5025325000000","4352031000000","2.6","45.2","408","1705557000000","1634021000000","1659574000000","19","489320000000","1175509000000","410315000000","295329000000","-","-532630000000","318769000000","-131504000000","541819000000","-","892484461","-","-","-","1149"
"2020","4","3092398000000","-","-","-","-","145746000000","4.7","430368000000","153850000000","44258000000","28.5","108978000000","3.5","122.0","1886.1","4712295370528","1069953370528","3642342000000","11.9","0.6","7.6","11.6","0.4","2.9","50.0","4.17","41.0","2.7","6.5","0.38","4.8","6.1","1.8","1.3","8075755000000","1003987000000","249281000000","3","1","23","327142000000","-","57.4","7071768000000","6350197000000","1749177000000","145407000000","4575034000000","3891623000000","2.3","33.4","348","1725557000000","1587016000000","1684528000000","21","489320000000","1127814000000","369215000000","284622000000","-","-660755000000","325643000000","-286632000000","655847000000","12225000000","893116336","31933","96840197","4564119","1198"
"2019","4","3184259000000","-","-","-","-","206956000000","6.5","478928000000","211541000000","57143000000","30.3","130002000000","4.1","145.6","1792.3","4364219255204","1074898255204","3289321000000","7.7","0.7","5.2","9.2","0.3","2.6","50.0","4.15","34.4","2.8","8.1","0.42","4.8","7.7","2.9","1.7","7612729000000","919736000000","279542000000","4","1","26","286481000000","172763000000","54.5","6692993000000","5970974000000","1686464000000","129739000000","4257078000000","3568863000000","2.2","25.3","343","1641754000000","1522687000000","1600794000000","21","489320000000","1063517000000","463408000000","271972000000","-","-577370000000","211222000000","-98531000000","561939000000","11923000000","893143544","31850","99976735","6497834","1204"
"2018","4","3307661000000","-","-","-","-","204853000000","6.2","536837000000","203636000000","57530000000","33.2","115077000000","3.5","128.8","1695.4","4617968558336","1457655558336","3160313000000","10.4","1.0","10.0","8.7","0.4","3.1","50.0","3.06","38.8","2.9","7.6","0.46","4.8","7.1","3.0","1.6","7257363000000","830687000000","180628000000","2","1","12","312519000000","163935000000","50.8","6426676000000","5724417000000","1633925000000","125429000000","4062102000000","3340941000000","2.2","27.5","351","1532946000000","1438839000000","1514244000000","21","489320000000","979669000000","449716000000","331984000000","-","-537846000000","103073000000","-35583000000","485299000000","12000000000","893171298","32597","101471332","6284413","1632"
"2017","4","3133632000000","-","-","-","-","227551000000","7.3","567838000000","217104000000","63087000000","29.3","151880000000","4.8","170.0","1627.7","4133772039991","1221224039991","2912548000000","8.7","0.8","7.3","7.7","0.4","2.5","35.0","2.56","20.6","2.2","10.4","0.45","4.8","9.8","3.6","2.2","6985088000000","733015000000","159685000000","2","1","13","270648000000","129125000000","44.9","6252072000000","5512290000000","1631266000000","126414000000","3852076000000","3072233000000","2.1","19.2","351","1472797000000","1364347000000","1454088000000","21","489320000000","904806000000","623266000000","340287000000","-","-447237000000","-162277000000","216254000000","407012000000","-","893360673","32527","96339410","6995757","1367"
"2016","4","3011337000000","-","-","-","-","217747000000","7.2","586515000000","196125000000","56351000000","28.6","140789000000","4.7","157.6","1480.5","4187711602283","1221299602283","2966412000000","9.2","0.9","8.5","7.3","0.4","2.4","25.0","1.83","15.9","1.7","10.6","0.44","5.2","9.9","3.6","2.1","6853182000000","772065000000","133133000000","2","1","11","233169000000","122816000000","49.7","6081116000000","5508485000000","1553753000000","122716000000","3927280000000","3099545000000","2.3","21.1","382","1344696000000","1248297000000","1322664000000","19","489320000000","788674000000","485669000000","368768000000","-","-345749000000","-130359000000","141571000000","344098000000","-","893415949","32666","92185667","6665861","1367"
"2015","4","3245906000000","-","-","-","-","256702000000","7.9","627123000000","241651000000","80357000000","36.2","140800000000","4.3","157.6","1319.3","4040734560391","890436560391","3150298000000","5.9","0.8","4.5","6.4","0.3","1.7","0.0","0.0","0.0","-","11.9","0.44","6.3","11.0","4.0","1.9","7412472000000","712732000000","128123000000","2","0","14","223031000000","115012000000","51.6","6699739000000","6210641000000","1381524000000","120527000000","4800629000000","3278421000000","2.8","22.4","478","1201831000000","1107617000000","1178666000000","16","489320000000","648154000000","595154000000","370421000000","-","-390899000000","-382402000000","225852000000","369302000000","-","893384730","33089","98096225","7757926","997"
"2014","4","3406030000000","-","-","-","-","-78600000000","-","-","-113052000000","33244000000","-29.0","-148375000000","-","-166.1","1159.5","4601593524530","1024400524530","3577193000000","-","1.0","-","-","0.3","4.6","0.0","0.0","0.0","-","-","0.44","7.5","-","-","-","7743378000000","913834000000","158278000000","2","1","15","230692000000","148613000000","62.6","6829544000000","6683158000000","1459294000000","175532000000","5215173000000","3735471000000","3.6","-24.1","578","1060219000000","967187000000","1036038000000","13","489320000000","507562000000","447666000000","385350000000","-","-388662000000","-86672000000","26999000000","420667000000","-","893502420","33539","101554310","-2343540","1147"
"2013","4","3327484000000","-","-","-","-","-71711000000","-","-","-111326000000","-10899000000","10.1","-97408000000","-","-109.0","1330.5","4801162837761","946258837761","3854904000000","-","0.8","-","-","-","2.5","0.0","0.0","0.0","-","-","0.43","6.5","-","-","-","7777519000000","957691000000","109508000000","1","0","12","232295000000","158999000000","79.9","6819828000000","6564361000000","1199193000000","199538000000","5358236000000","3964412000000","3.3","-39.6","501","1213158000000","1116572000000","1188836000000","15","489320000000","656909000000","347772000000","382821000000","-","-350985000000","179408000000","-71148000000","418920000000","-","893539979","33657","98864545","-2130641","1059"
"2012","4","2859054000000","-","-","-","-","-314012000000","-","-","-353190000000","-105524000000","30.3","-243422000000","-","-272.4","1406.5","4437121980160","829183980160","3607938000000","-","0.7","-","-","0.3","7.2","0.0","0.0","0.0","-","-","0.37","6.1","-","-","-","7635150000000","707514000000","156465000000","2","1","19","187290000000","159986000000","65.0","6927635000000","6357043000000","1087961000000","180358000000","5258967000000","3764403000000","3.0","-14.8","463","1278106000000","1214004000000","1256757000000","16","489320000000","754319000000","142673000000","380025000000","-","-430662000000","313695000000","-292538000000","435211000000","-","893517220","33537","85250738","-9363151","928"
"2011","4","2811424000000","-","-","-","-","-229388000000","-","-","-265537000000","-33296000000","12.1","-242257000000","-","-271.1","1689.7","4520648088902","1145520088902","3375128000000","-","0.8","-","-","-","2.9","60.0","4.68","-22.1","3.6","-","0.37","5.0","-","-","-","7521352000000","723900000000","129234000000","2","1","11","181023000000","166068000000","69.1","6797451000000","5991508000000","1048161000000","180439000000","4928742000000","3504362000000","2.3","-13.9","368","1529843000000","1484280000000","1509845000000","20","489320000000","1024581000000","43869000000","401813000000","-","-408357000000","399193000000","-366373000000","410242000000","-","893541411","-","-","-","1282"
"2010","4","2769783000000","-","-","-","-","273885000000","9.9","697449000000","237987000000","71742000000","36.7","123143000000","4.4","137.8","2026.5","4498224157547","1618250157547","2879974000000","15.7","0.9","14.0","6.7","0.6","3.1","60.0","3.31","43.5","3.0","6.8","0.38","4.0","6.5","4.2","1.7","7310178000000","570930000000","96141000000","1","0","6","165829000000","141480000000","53.3","6739247000000","5477761000000","1072063000000","113698000000","4400228000000","2976115000000","1.6","23.4","284","1832416000000","1780473000000","1810844000000","25","489320000000","1320745000000","610548000000","423564000000","-","-547996000000","-44322000000","146470000000","464078000000","-","893567177","-","-","-","1811"
"2009","4","2606592000000","-","-","-","-","227661000000","8.7","630768000000","193132000000","65019000000","33.7","127170000000","4.9","141.1","1972.4","4886664477978","1931205477978","2955459000000","17.1","1.1","18.6","8.0","0.7","3.7","60.0","2.8","42.5","3.0","7.2","0.37","4.0","6.8","3.4","1.8","7116632000000","558421000000","78195000000","1","0","4","151702000000","133591000000","55.0","6558210000000","5327202000000","1014666000000","111585000000","4312536000000","3033654000000","1.7","23.2","283","1789429000000","1732267000000","1778329000000","25","489320000000","1271959000000","667150000000","403107000000","-","-477756000000","-184498000000","239114000000","428036000000","-","901589859","-","-","-","2142"
"2008","4","2789575000000","-","-","-","-","31048000000","1.1","413376000000","-12581000000","-4099000000","32.6","-8796000000","-","-9.7","1868.1","4928247959380","1947858959380","2980389000000","-","1.1","-","-","0.7","6.1","60.0","2.8","-620.9","3.2","-","0.4","4.1","-","0.7","-","6970120000000","540601000000","69600000000","1","0","4","166567000000","128898000000","54.0","6429519000000","5263409000000","1001805000000","96400000000","4261604000000","3049989000000","1.8","-338.8","292","1706710000000","1677505000000","1700355000000","24","489320000000","1217625000000","281289000000","382328000000","-","-510418000000","225751000000","-210667000000","491956000000","-","910214467","-","-","-","2140"
